MSCW,,Weight %,Категорія / Параметр аналізу,Google CCAI,Ender Turing,Uni Talk,NICE,Microsoft Copilot,Genesys Cloud CX,NICE Cognigy,Cresta,Live Person,Ringostat,Decagon,11 Labs,Poly AI,Get Vocal
COPILOT,,,,,,,,,,,,,,,,,
Must,Швидкість аналізу AI,5,"5 - контекст розмови аналізується та відображається оператору в реальному часі, затримка ≤200 мс
4 - відображення з затримкою ≤1с
3 - ≤5 с, оператор бачить підказку після паузи
2 - >5с або відображення лише після завершення репліки
1 - функціонал відсутній або недоступний",5,2,1,5,4,4.5,5,4,4,1,4.5,1,1,1
Should,Підказки відповіді (NBA),2.5,"Next Best Action - швидка ШІ-пропозиція рішення \ відповіді \ посилань
5 - точна підказка наступного кроку, що дає оператору чіткий план до вирішення запит
4 - часто потребується коригування в моменті
3 - не підтверджена українська
2 - пропонує лише загальні варіанти без прив'язки до контексту розмови
1 - функціонал відсутній",3,1,1,5,5,4.5,5,5,4,1,4,1,1,1
Should,Шаблони відповідей,2.5,"Готові скрипти відповіді, адаптовані під контекст розмови
5 - ШІ автоматично підставляє дані (ім'я клієнта, номер ТТН) у шаблон і пояснює логіку вибору (клієнт незадоволений відповіддю, згідно з нашою політикою ми можемо запропонувати наступні рішення)
4 -  шаблони пропонуються автоматично, але персональні дані оператор підставляє вручну
3 - система видає список стандартних текстових блоків, які оператор має адаптувати під контекст
2 - шаблони існують, але пошук лише за ключовими словами, без контексту
1 - функціонал відсутній",5,3,2,5,4.5,5,5,5,4,4,4.5,1,1,1
Should,Пошук в базі знань (RAG),2.5,"Пошук відповідей у завантажених документах (базі знань)
5 - розуміння складного питання, аналіз і пошук точних даних у базі знань
3 - пошук по докуменції є, але потрібно прочитати та підібрати відповідь
1 - функціонал відсутній",3,4,1,5,5,5,5,5,4.5,1,4.5,1,1,1
Should,Витяг політик,2.5,"Посилання на документ, аби оператор міг цитувати офіційні документи
5 - виділення конкретної норми та посилання у відповіді оператору
4 - відповіді орієнтовані на політику, але не надаються одразу посилання чи цитати
3 - система ідентифікує контекст, але виділення конкретної норми права у відповіді оператору потребує додаткових налаштувань
1 - функціонал відсутній",5,5,1,5,5,5,5,5,4,3.5,4,1,1,1
,,15%,,13%,7.5%,3.5%,15%,13.8%,14.3%,15%,14%,12.3%,5.8%,13%,3%,3%,3%
ПОСТОБРОБКА (ACW),,,,,,,,,,,,,,,,,
Must,Транскрибація дзвінка,6,"Оцінка вимірює точність розпізнавання слів та розділення спікерів (клієнт/оператор)
5 - українська мова нативно (GA, підтверджено документацією)
4 - українська мова через сторонній бекенд-переклад
3.5 - українська підтримується, невпевнено
3 - українська не згадується
2 - українська мова не реалізована
1 - платформа не є ACW-рішенням",4.5,4.5,4.5,4,3.5,3,4,4,3,3,3,5,4,1
Must,Резюме дзвінка (Саммарі),6,"Оцінюється узагальнення суті проблеми клієнта та фіксація результату розмови
5 - чітке резюме, яке не потребує правок
4 - резюме охоплює суть запиту, але результат потребує валідації оператора
3.5 - потребує додаткового аналізу, оскільки бракує інформації щоби стверджувати
2 - формує лише набір ключових слів або часткове резюме без структури
1 - немає функціоналу",4.5,4.5,1,4.5,4,4.5,4.5,4.5,4,3,3,1,1,1
Should,Автозаповнення тематик,4.3,"Здатність ШІ визначати одну або декілька тематик звернення з дерева категорій тематик та підтематик (аналітика побудована на наявності функціоналу та відгуках користувачів)
5 - найкращі алгоритми класифікації, здатні розрізняти схожі тематики у дереві на велику кількість тематик
4 - точна класифікація на спрощеному дереві
3 - потрібен довший період навчання та бажана постперевірка оператора
2 - автоматична неточна класифікація, користувачі скаржаться часто
1 - функціонал відсутній

Складно теоретично дати оцінку. Варто спробувати на тесті, хто краще класифікує 400 тематик НП на тестовій вибірці реальних дзвінків із суржиком",3,3.5,1,3,3,2,2,3,2,2,2,1,1,1
Should,Автозаповнення полів у CRM,4.3,"Можливість перенесення даних із розмови УКРАЇНСЬКОЮ МОВОЮ та рівень гнучкості інтеграції з API РМ НП
5 - основний функціонал, що найкращий на ринку
4 - готовий API та документація для інтеграції з будь-яким РМ, автозаповнення будується самостійно
2 - не підтримує українську мову
1 - функціонал відсутній ",3,3.5,1,3,3,2,2,3,3,2,2,1,1,1
